Source,Type,Target,Weight
Восточносибирский крайком ВКПб,Undirected,Калинин Михаил Иванович,1
Восточносибирский крайком ВКПб,Undirected,Ленин Владимир Ильич (У),1
Восточносибирский крайком ВКПб,Undirected,Разумов М.,1
Восточносибирский крайком ВКПб,Undirected,Сталин Иосиф Виссарионович (У),1
Восточносибирский крайком ВКПб,Undirected,газета "Правда",1
Зиновьев Григорий Евсеевич (У),Undirected,Каменев Лев Борисович (У),1
Зиновьев Григорий Евсеевич (У),Undirected,Киров Сергей Миронович (У),1
Зиновьев Григорий Евсеевич (У),Undirected,Сталин Иосиф Виссарионович (У),1
Зиновьев Григорий Евсеевич (У),Undirected,ЦИК СССР,1
Зиновьев Григорий Евсеевич (У),Undirected,газета "Правда",1
Калинин Михаил Иванович,Undirected,Ленин Владимир Ильич (У),3
Калинин Михаил Иванович,Undirected,Мамедбеков Далгат,1
Калинин Михаил Иванович,Undirected,Разумов М.,1
Калинин Михаил Иванович,Undirected,Самурский,1
Калинин Михаил Иванович,Undirected,Сталин Иосиф Виссарионович (У),3
Калинин Михаил Иванович,Undirected,газета "Правда",2
Калинин Михаил Иванович,Undirected,крайком партии,1
Каменев Лев Борисович (У),Undirected,Киров Сергей Миронович (У),1
Каменев Лев Борисович (У),Undirected,Сталин Иосиф Виссарионович (У),1
Каменев Лев Борисович (У),Undirected,ЦИК СССР,1
Каменев Лев Борисович (У),Undirected,газета "Правда",1
Киров Сергей Миронович (У),Undirected,Сталин Иосиф Виссарионович (У),1
Киров Сергей Миронович (У),Undirected,ЦИК СССР,1
Киров Сергей Миронович (У),Undirected,газета "Правда",1
Корнейчук Александр Евдокимович,Undirected,Ленин Владимир Ильич (У),1
Корнейчук Александр Евдокимович,Undirected,Союз писателей Казахстана,1
Корнейчук Александр Евдокимович,Undirected,Союз писателей Украины,1
Корнейчук Александр Евдокимович,Undirected,Сталин Иосиф Виссарионович (У),1
Корнейчук Александр Евдокимович,Undirected,Шевченко Тарас Григорьевич (У),1
Ленин Владимир Ильич (У),Undirected,МГУ,1
Ленин Владимир Ильич (У),Undirected,Мамедбеков Далгат,1
Ленин Владимир Ильич (У),Undirected,Немирович-Данченко Владимир Иванович,1
Ленин Владимир Ильич (У),Undirected,Островский Николай Алексеевич,2
Ленин Владимир Ильич (У),Undirected,Первомайский Леонид,1
Ленин Владимир Ильич (У),Undirected,Разумов М.,1
Ленин Владимир Ильич (У),Undirected,Самурский,1
Ленин Владимир Ильич (У),Undirected,Союз писателей Казахстана,1
Ленин Владимир Ильич (У),Undirected,Союз писателей Украины,1
Ленин Владимир Ильич (У),Undirected,Сталин Иосиф Виссарионович (У),7
Ленин Владимир Ильич (У),Undirected,Шевченко Тарас Григорьевич (У),1
Ленин Владимир Ильич (У),Undirected,актив комсомола ленинского района г. Харьков,1
Ленин Владимир Ильич (У),Undirected,газета "Правда",2
Ленин Владимир Ильич (У),Undirected,крайком партии,1
Ленин Владимир Ильич (У),Undirected,театр рабочей молодежи г. Харьков,1
МГУ,Undirected,Немирович-Данченко Владимир Иванович,1
МГУ,Undirected,Сталин Иосиф Виссарионович (У),1
Мамедбеков Далгат,Undirected,Самурский,1
Мамедбеков Далгат,Undirected,Сталин Иосиф Виссарионович (У),1
Немирович-Данченко Владимир Иванович,Undirected,Сталин Иосиф Виссарионович (У),1
Островский Николай Алексеевич,Undirected,Первомайский Леонид,1
Островский Николай Алексеевич,Undirected,Сталин Иосиф Виссарионович (У),3
Островский Николай Алексеевич,Undirected,актив комсомола ленинского района г. Харьков,1
Островский Николай Алексеевич,Undirected,кировский завод г. Ленинград,1
Островский Николай Алексеевич,Undirected,театр рабочей молодежи г. Харьков,1
Первомайский Леонид,Undirected,Сталин Иосиф Виссарионович (У),1
Первомайский Леонид,Undirected,театр рабочей молодежи г. Харьков,1
Разумов М.,Undirected,Сталин Иосиф Виссарионович (У),1
Разумов М.,Undirected,газета "Правда",1
Самурский,Undirected,Сталин Иосиф Виссарионович (У),1
Союз писателей Казахстана,Undirected,Союз писателей Украины,1
Союз писателей Казахстана,Undirected,Сталин Иосиф Виссарионович (У),1
Союз писателей Казахстана,Undirected,Шевченко Тарас Григорьевич (У),1
Союз писателей Украины,Undirected,Сталин Иосиф Виссарионович (У),1
Союз писателей Украины,Undirected,Шевченко Тарас Григорьевич (У),1
Сталин Иосиф Виссарионович (У),Undirected,ЦИК СССР,1
Сталин Иосиф Виссарионович (У),Undirected,Шевченко Тарас Григорьевич (У),1
Сталин Иосиф Виссарионович (У),Undirected,актив комсомола ленинского района г. Харьков,1
Сталин Иосиф Виссарионович (У),Undirected,газета "Правда",3
Сталин Иосиф Виссарионович (У),Undirected,кировский завод г. Ленинград,1
Сталин Иосиф Виссарионович (У),Undirected,крайком партии,1
Сталин Иосиф Виссарионович (У),Undirected,театр рабочей молодежи г. Харьков,1
ЦИК СССР,Undirected,газета "Правда",1
газета "Правда",Undirected,крайком партии,1
